common_name,scientific_name,n_records,n_complete,has_data,rank
Guadalupe Murrelet,Synthliboramphus hypoleucus,2039,2022,0,427
Hawaiian Petrel,Pterodroma sandwichensis,2051,2001,0,428
Nelson's Sparrow,Ammospiza nelsoni,2346,1986,0,429
Grace's Warbler,Setophaga graciae,2235,1973,0,430
Black-throated Green Warbler,Setophaga virens,2208,1932,0,431
Prairie Warbler,Setophaga discolor,2119,1930,0,432
Yellow-billed Loon,Gavia adamsii,2321,1928,0,433
Blue-footed Booby,Sula nebouxii,1981,1910,0,434
Red-eyed Vireo,Vireo olivaceus,2193,1910,0,435
Bay-breasted Warbler,Setophaga castanea,2211,1897,0,436
Hooded Warbler,Setophaga citrina,2241,1887,0,437
Scissor-tailed Flycatcher,Tyrannus forficatus,2116,1780,0,438
Black-throated Blue Warbler,Setophaga caerulescens,2102,1769,0,439
Lark Bunting,Calamospiza melanocorys,2045,1768,0,440
Dusky-capped Flycatcher,Myiarchus tuberculifer,2000,1753,0,441
Least Flycatcher,Empidonax minimus,1915,1733,0,442
Prothonotary Warbler,Protonotaria citrea,2047,1716,0,443
Spotted Dove,Spilopelia chinensis,1859,1572,0,444
Red-billed Tropicbird,Phaethon aethereus,1599,1565,0,445
Trumpeter Swan,Cygnus buccinator,1840,1540,0,446
Dickcissel,Spiza americana,1784,1534,0,447
Broad-billed Hummingbird,Cynanthus latirostris,1924,1532,0,448
Painted Bunting,Passerina ciris,1799,1515,0,449
Garganey,Spatula querquedula,1795,1512,0,450
White Wagtail,Motacilla alba,1873,1462,0,451
Canada Warbler,Cardellina canadensis,1671,1456,0,452
Gray Vireo,Vireo vicinior,1546,1438,0,453
Northern Cardinal,Cardinalis cardinalis,1555,1436,0,454
Flammulated Owl,Psiloscops flammeolus,1745,1433,0,455
Eastern Kingbird,Tyrannus tyrannus,1741,1432,0,456
Greater Pewee,Contopus pertinax,1619,1427,0,457
Northern Shrike,Lanius borealis,1658,1420,0,458
Harris's Hawk,Parabuteo unicinctus,1706,1403,0,459
Hepatic Tanager,Piranga flava,1561,1348,0,460
Masked Booby,Sula dactylatra,1479,1329,0,461
Burrowing Parakeet,Cyanoliseus patagonus,1850,1314,0,462
King Eider,Somateria spectabilis,1522,1299,0,463
Snow Bunting,Plectrophenax nivalis,1540,1277,0,464
Red-flanked Bluetail,Tarsiger cyanurus,1434,1262,0,465
Cape May Warbler,Setophaga tigrina,1502,1254,0,466
Red-throated Pipit,Anthus cervinus,1487,1251,0,467
Yellow-green Vireo,Vireo flavoviridis,1395,1233,0,468
Scarlet Tanager,Piranga olivacea,1426,1209,0,469
Chestnut-collared Longspur,Calcarius ornatus,1378,1179,0,470
Rusty Blackbird,Euphagus carolinus,1399,1175,0,471
Bar-tailed Godwit,Limosa lapponica,1350,1130,0,472
Barred Owl,Strix varia,1726,1130,0,473
American Golden-Plover,Pluvialis dominica,1316,1123,0,474
Pine Warbler,Setophaga pinus,1205,1062,0,475
Tundra Bean-Goose,Anser serrirostris,1252,1051,0,476
Brown Thrasher,Toxostoma rufum,1143,1047,0,477
Slate-throated Redstart,Myioborus miniatus,1192,1040,0,478
